✅ 18:18:49 | root | Initializing bidirectional synchronizer
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40626367 (CONJUNTO PROMOÇAO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CONJUNTO PROMOÇAO (ID: 40626367) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40519768 (VIBRE CHICLETE GEL DE MASSAGEM ELETRIZANTE 15G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto VIBRE CHICLETE GEL DE MASSAGEM ELETRIZANTE 15G (ID: 40519768) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40519764 (ORAL GOURMET VINHO C/ LEITE CONDENSADO GEL 35ML) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ORAL GOURMET VINHO C/ LEITE CONDENSADO GEL 35ML (ID: 40519764) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40519762 (ORAL GOURMET DRINKS ICE REDWHISKEY 45G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ORAL GOURMET DRINKS ICE REDWHISKEY 45G (ID: 40519762) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40519761 (ORAL GOURMET DRINKS ICE CAIPISEXY) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ORAL GOURMET DRINKS ICE CAIPISEXY (ID: 40519761) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40519757 (ORAL GOURMET CHICLETE GEL 35ML) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ORAL GOURMET CHICLETE GEL 35ML (ID: 40519757) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40519755 (ORAL GOURMET ALGODAO DOCE GEL 35ML) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ORAL GOURMET ALGODAO DOCE GEL 35ML (ID: 40519755) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 40519754 (FELIZ IDADE GEL 75 G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto FELIZ IDADE GEL 75 G (ID: 40519754) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 39797898 (ON RETARDANTE) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ON RETARDANTE (ID: 39797898) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 39797886 (CAPSULA SUPER MACHO) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CAPSULA SUPER MACHO (ID: 39797886) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
✅ 18:19:12 | BidirectionalSynchronizer | ✨ Sincronização de produtos para Bagy concluída: 0 com sucesso, 219 erros
✅ 18:19:12 | BidirectionalSynchronizer | 👥 Iniciando sincronização de clientes do Bagy para GestãoClick...
✅ 18:19:12 | BidirectionalSynchronizer | 🔄 Iniciando sincronização de clientes do Bagy para GestãoClick
✅ 18:19:12 | BagyClient | Fetching customers from Bagy (page 1, limit 100)
✅ 18:19:13 | BagyClient | Fetching customers from Bagy (page 2, limit 100)
✅ 18:19:13 | Pagination | GestãoClick API retornou array vazio em 'data' na página 2, finalizando paginação
✅ 18:19:13 | Pagination | Recuperado um total de 2 itens de 2 páginas
✅ 18:19:13 | BidirectionalSynchronizer | 👥 Encontrados 2 clientes no Bagy
✅ 18:19:13 | GestaoClickClient | Searching for customer with email: Testedodev@gmailc.om
✅ 18:19:14 | BidirectionalSynchronizer | Found existing customer with email Testedodev@gmailc.om (GestãoClick ID: 44172876)
✅ 18:19:14 | GestaoClickClient | Updating customer with ID: 44172876
❌ 18:19:14 | GestaoClickClient | Response error 400: {"code":400,"status":"error","data":{"erro":"Bad Request","mensagem":"Campo tipo_pessoa inv\u00e1lido!"}}
⚠️ 18:19:14 | GestaoClickClient | Request failed: 400 Client Error: Bad Request for url: https://api.beteltecnologia.com/clientes/44172876
✅ 18:19:14 | GestaoClickClient | Retrying in 30 seconds...
❌ 18:19:44 | GestaoClickClient | Response error 400: {"code":400,"status":"error","data":{"erro":"Bad Request","mensagem":"Campo tipo_pessoa inv\u00e1lido!"}}
⚠️ 18:19:44 | GestaoClickClient | Request failed: 400 Client Error: Bad Request for url: https://api.beteltecnologia.com/clientes/44172876
✅ 18:19:44 | GestaoClickClient | Retrying in 60 seconds...
❌ 18:20:45 | GestaoClickClient | Response error 400: {"code":400,"status":"error","data":{"erro":"Bad Request","mensagem":"Campo tipo_pessoa inv\u00e1lido!"}}
⚠️ 18:20:45 | GestaoClickClient | Request failed: 400 Client Error: Bad Request for url: https://api.beteltecnologia.com/clientes/44172876
✅ 18:20:45 | GestaoClickClient | Retrying in 120 seconds...
